State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield_calc,StateCrop_Yield,Crop_Yield,State_Yield,Yield_filled,StateCrop_ProdMed,Crop_ProdMed,Soil_N,Soil_P,Soil_K,Soil_pH,Fertilizer_avg,Rain_JAN,Rain_FEB,Rain_MAR,Rain_APR,Rain_MAY,Rain_JUN,Rain_JUL,Rain_AUG,Rain_SEP,Rain_OCT,Rain_NOV,Rain_DEC,Rain_ANNUAL,Rain_JF,Rain_MAM,Rain_JJAS,Rain_OND,Temp_Annual_Min,Temp_Annual_Max
Maharashtra,AURANGABAD,1997,Kharif     ,Arhar/Tur,37100,3700,0.099730458,0.621297089,0.797442842,4.367612637,0.099730458,9300,878,69.52290026,20.70819361,17.80626803,6.469480065,95702952,7.7,1.1,8.3,14.3,8,75.8,131,121.1,163.4,106.8,98.6,54.3,790.5,8.8,30.6,491.3,259.8,20.26,30.45
Maharashtra,AURANGABAD,1997,Kharif     ,Bajra,130800,103400,0.790519878,0.668019058,1.173871632,4.367612637,0.790519878,7550,1649,69.52290026,20.70819361,17.80626803,6.469480065,159048104,7.7,1.1,8.3,14.3,8,75.8,131,121.1,163.4,106.8,98.6,54.3,790.5,8.8,30.6,491.3,259.8,20.26,30.45
Maharashtra,AURANGABAD,1997,Kharif     ,Gram,41100,14600,0.355231144,0.667090106,0.830302529,4.367612637,0.355231144,17350,1167,69.52290026,20.70819361,17.80626803,6.469480065,68246407,7.7,1.1,8.3,14.3,8,75.8,131,121.1,163.4,106.8,98.6,54.3,790.5,8.8,30.6,491.3,259.8,20.26,30.45
Maharashtra,AURANGABAD,1997,Kharif     ,Jowar,27700,34100,1.231046931,0.97931996,1.048582467,4.367612637,1.231046931,28200,2000,69.52290026,20.70819361,17.80626803,6.469480065,191596244,7.7,1.1,8.3,14.3,8,75.8,131,121.1,163.4,106.8,98.6,54.3,790.5,8.8,30.6,491.3,259.8,20.26,30.45
Maharashtra,AURANGABAD,1997,Kharif     ,Maize,39800,39800,1,8.318274898,2.632769546,4.367612637,1,1800,2280,69.52290026,20.70819361,17.80626803,6.469480065,17853892,7.7,1.1,8.3,14.3,8,75.8,131,121.1,163.4,106.8,98.6,54.3,790.5,8.8,30.6,491.3,259.8,20.26,30.45
Maharashtra,AURANGABAD,1997,Kharif     ,Moong(Green Gram),10700,2200,0.205607477,0.515480638,0.452434518,4.367612637,0.205607477,2700,129.75,69.52290026,20.70819361,17.80626803,6.469480065,58253557,7.7,1.1,8.3,14.3,8,75.8,131,121.1,163.4,106.8,98.6,54.3,790.5,8.8,30.6,491.3,259.8,20.26,30.45
Maharashtra,AURANGABAD,1997,Kharif     ,Pulses total,680,141,0.207352941,0.352246926,0.666938786,4.367612637,0.207352941,141,860,69.52290026,20.70819361,17.80626803,6.469480065,80048438.7,7.7,1.1,8.3,14.3,8,75.8,131,121.1,163.4,106.8,98.6,54.3,790.5,8.8,30.6,491.3,259.8,20.26,30.45
Maharashtra,AURANGABAD,1997,Kharif     ,Rice,1100,1200,1.090909091,1.759605498,1.995013791,4.367612637,1.090909091,7300,30519,69.52290026,20.70819361,17.80626803,6.469480065,127432630,7.7,1.1,8.3,14.3,8,75.8,131,121.1,163.4,106.8,98.6,54.3,790.5,8.8,30.6,491.3,259.8,20.26,30.45
Maharashtra,AURANGABAD,1997,Kharif     ,Total foodgrain,2682,1931,0.719985086,0.988015719,1.537317698,4.367612637,0.719985086,2249,56385.5,69.52290026,20.70819361,17.80626803,6.469480065,80048438.7,7.7,1.1,8.3,14.3,8,75.8,131,121.1,163.4,106.8,98.6,54.3,790.5,8.8,30.6,491.3,259.8,20.26,30.45
Maharashtra,AURANGABAD,1997,Kharif     ,Urad,6400,3900,0.609375,0.556907238,0.493911727,4.367612637,0.609375,2750,366,69.52290026,20.70819361,17.80626803,6.469480065,50002318,7.7,1.1,8.3,14.3,8,75.8,131,121.1,163.4,106.8,98.6,54.3,790.5,8.8,30.6,491.3,259.8,20.26,30.45
Maharashtra,AURANGABAD,1997,Rabi       ,Jowar,213400,112600,0.52764761,0.97931996,1.048582467,4.367612637,0.52764761,28200,2000,69.52290026,20.70819361,17.80626803,6.469480065,331857790,7.7,1.1,8.3,14.3,8,75.8,131,121.1,163.4,106.8,98.6,54.3,790.5,8.8,30.6,491.3,259.8,20.26,30.45
