State_Name,Season,N,P,K,pH,Crop,Crop Yield (kg per hectare)
Maharashtra,Whole Year,2,17,141,6.26,Banana,4588.190494
Maharashtra,Whole Year,136,90,109,4.72,Banana,5200.051448
Maharashtra,Whole Year,136,90,109,4.62,Banana,5200.051448
Maharashtra,Whole Year,2,17,141,6.1,Banana,4588.190494
Maharashtra,Whole Year,2,17,141,5.27,Banana,4588.190494
Maharashtra,Whole Year,2,17,141,4.76,Banana,4588.190494
Maharashtra,Whole Year,136,90,109,6.92,Banana,5200.051448
Maharashtra,Whole Year,2,17,141,6.04,Banana,4588.190494
Maharashtra,Whole Year,136,90,109,6.09,Banana,5200.051448
Maharashtra,Kharif,24,27,56,6.01,Rice,2183.687786
Maharashtra,Kharif,58,96,45,6.31,Rice,2147.024814
Maharashtra,Kharif,10,78,8,6.22,Rice,4163.46923
Maharashtra,Kharif,90,82,115,6.49,Rice,4007.462434
Maharashtra,Kharif,38,20,130,7.23,Rice,1670.472099
Maharashtra,Kharif,46,59,108,6.49,Rice,2394.456716
Maharashtra,Kharif,128,84,97,6.9,Rice,1520.864665
Maharashtra,Kharif,95,33,143,7.17,Rice,4400.365431
Maharashtra,Kharif,37,94,87,6.15,Rice,1978.463125
Maharashtra,Kharif,64,74,28,6.67,Rice,5870.426042
Maharashtra,Kharif,64,74,28,5.91,Rice,5870.426042
Maharashtra,Kharif,90,82,115,7.07,Rice,4007.462434
Maharashtra,Kharif,29,31,35,6.57,Rice,1319.267126
Maharashtra,Summer,127,12,52,6.11,Rice,5507.786435
Maharashtra,Summer,103,6,108,6.39,Rice,3655.366547
Maharashtra,Kharif,58,96,45,5.51,Rice,2147.024814
Maharashtra,Kharif,58,96,45,6,Rice,2147.024814
Maharashtra,Summer,42,34,23,6.1,Rice,1954.06143
Maharashtra,Summer,103,6,108,6.09,Rice,3655.366547
Maharashtra,Kharif,64,94,75,5.56,Rice,3634.959965
Maharashtra,Kharif,97,77,113,6.61,Rice,4800.603906
Maharashtra,Kharif,14,44,90,5.82,Rice,1699.595322
Maharashtra,Kharif,82,89,104,6.33,Rice,1482.918762
Maharashtra,Summer,127,12,52,6.14,Rice,5507.786435
Maharashtra,Kharif,37,94,87,7.32,Rice,1978.463125
Maharashtra,Kharif,29,31,35,7.26,Rice,1319.267126
Maharashtra,Kharif,14,44,90,6.36,Rice,1699.595322
Maharashtra,Kharif,30,45,90,6.3,Rice,1257.477144
Maharashtra,Kharif,121,35,80,5.64,Rice,4748.475566
Maharashtra,Kharif,3,89,88,5.62,Rice,2019.817903
Maharashtra,Kharif,97,77,113,6.45,Rice,4800.603906
Maharashtra,Summer,127,12,52,5.89,Rice,5507.786435
Maharashtra,Kharif,95,33,143,5.92,Rice,4400.365431
Maharashtra,Kharif,90,97,47,5.51,Rice,1571.612353
Maharashtra,Kharif,46,59,108,5.8,Rice,2394.456716
